track_genre,tempo,energy,danceability,loudness,valence,popularity,genre_encoded
acoustic,-1.141854494,-0.717146984,0.629238551,0.300825003,0.929314673,1.782623658,0
acoustic,-1.489707751,-1.889973931,-0.84590813,-1.784738833,-0.798680914,0.97562469,0
acoustic,-1.528302517,-1.12266681,-0.742186879,-0.293289282,-1.365679466,1.065291242,0
acoustic,1.987857445,-2.312986768,-1.733301055,-2.039245622,-1.276965406,1.692957106,0
acoustic,-0.073343225,-0.788709306,0.295025631,-0.282751111,-1.184394214,2.186123142,0
acoustic,-0.804942537,-0.637633293,0.698386052,-0.108970694,0.740315156,1.110124518,0
acoustic,0.638341588,-1.965511937,-0.920817922,-0.111953195,-1.533464751,1.827456934,0
acoustic,0.961109915,-0.784733622,0.784820428,-0.213159411,0.917743274,2.09645659,0
acoustic,0.26486968,-0.904004159,0.335361673,-0.087695517,0.751886555,1.827456934,0
acoustic,-1.442673507,-0.037304924,-0.719137712,0.296053001,-1.072537357,1.020457966,0
acoustic,-0.741963351,-1.106764072,0.346886257,0.026236038,-0.667538391,1.827456934,0
acoustic,0.375550261,-1.345305145,-0.482883751,-0.357711313,-1.292393938,1.603290554,0
acoustic,0.069594175,-1.301572615,-0.448310001,-0.196059736,0.512744309,0.841124862,0
acoustic,-1.169007597,-1.61962738,0.715672927,0.361469199,-1.022394628,1.289457622,0
acoustic,-0.071508556,0.551096392,1.084459597,0.432452733,-0.335824953,1.020457966,0
acoustic,-1.290629477,-0.319578528,-0.448310001,0.064809723,-0.910537771,1.110124518,0
acoustic,-0.400081108,-2.104660897,0.802107303,-1.956332082,-0.231682362,1.020457966,0
acoustic,-1.012226785,-2.215582497,1.314951266,-1.954741414,0.520458575,0.930791414,0
acoustic,0.26486968,-0.904004159,0.335361673,-0.087695517,0.751886555,1.558457278,0
acoustic,-0.473734732,-1.277718508,0.865492512,-0.026653654,-0.586538598,1.513624002,0
acoustic,0.961109915,-0.784733622,0.784820428,-0.213159411,0.917743274,1.87229021,0
acoustic,-1.071303129,-1.154472286,0.640763135,-0.078549179,0.366173254,1.334290898,0
acoustic,0.638341588,-1.965511937,-0.920817922,-0.111953195,-1.533464751,1.64812383,0
acoustic,0.601581492,-0.744976776,0.029960212,-0.403045335,0.157888072,-1.490205489,0
acoustic,-0.805909908,0.101844036,1.320713558,0.681591019,1.079742861,-1.490205489,0
acoustic,-0.069640529,-0.744976776,1.084459597,-0.268435104,-0.555681534,-1.445372213,0
acoustic,0.774407318,-1.321451038,0.306550215,-0.188901732,0.73260089,-1.490205489,0
acoustic,0.722035856,-0.84436889,0.381460007,0.293269333,0.177173737,-1.490205489,0
acoustic,0.774407318,-1.321451038,0.306550215,-0.188901732,0.73260089,-1.490205489,0
acoustic,0.774407318,-1.321451038,0.306550215,-0.188901732,0.73260089,-1.490205489,0
acoustic,0.774407318,-1.321451038,0.306550215,-0.188901732,0.73260089,-1.490205489,0
acoustic,0.774407318,-1.321451038,0.306550215,-0.188901732,0.73260089,-1.490205489,0
acoustic,2.664316612,-0.741001092,0.150968338,0.013311865,0.346887589,-1.490205489,0
acoustic,1.442793941,-1.730946548,-1.560432304,-0.703880313,-1.049394559,-1.490205489,0
acoustic,1.442793941,-1.730946548,-1.560432304,-0.703880313,-1.049394559,-1.490205489,0
acoustic,1.442793941,-1.730946548,-1.560432304,-0.703880313,-1.049394559,-1.490205489,0
acoustic,-1.230418974,-1.94165783,-0.909293339,-0.493315712,-1.134251485,-1.490205489,0
acoustic,0.529328888,-2.171452398,-0.3791625,-0.928959755,-0.609681396,-1.490205489,0
acoustic,-1.018131083,-1.2538644,0.22587813,-0.352342811,-0.231682362,-1.490205489,0
acoustic,-1.230418974,-1.94165783,-0.909293339,-0.493315712,-1.134251485,-1.490205489,0
acoustic,0.990197759,-0.48655728,-0.534744377,0.590127642,-0.571110066,-1.490205489,0
acoustic,-1.138118441,-1.353256515,0.006911045,-0.378588823,-1.280822539,-1.490205489,0
acoustic,1.665456052,0.177382043,0.006911045,0.322895514,0.967886003,-1.490205489,0
acoustic,1.665456052,0.177382043,0.006911045,0.322895514,0.967886003,-1.490205489,0
acoustic,0.867541792,0.097868351,-0.523219794,0.958565986,0.092316811,-1.490205489,0
acoustic,1.665456052,0.177382043,0.006911045,0.322895514,0.967886003,-1.490205489,0
acoustic,1.665456052,0.177382043,0.006911045,0.322895514,0.967886003,-1.490205489,0
acoustic,1.665456052,0.177382043,0.006911045,0.322895514,0.967886003,-1.490205489,0
acoustic,1.665456052,0.177382043,0.006911045,0.322895514,0.967886003,-1.490205489,0
acoustic,1.665456052,0.177382043,0.006911045,0.322895514,0.967886003,-1.490205489,0
acoustic,-0.475502686,-1.754800656,0.168255213,-0.430484348,-0.64053846,0.572125206,0
acoustic,1.536528852,1.083838123,-1.116735841,0.810037414,0.331459057,1.244624346,0
acoustic,0.496037983,0.042208767,-0.419498543,0.476394921,-0.67910979,1.19979107,0
acoustic,-1.634813396,-0.987493535,-0.690326254,-0.077753846,0.346887589,1.558457278,0
acoustic,0.896396133,-1.233985978,0.053009379,-0.22469175,-0.258682293,0.841124862,0
acoustic,-0.005794045,0.988421694,-0.17748229,0.603847149,-0.775538116,1.289457622,0
acoustic,-0.907216998,-1.226034609,-0.235105207,-0.94665593,-1.215251278,0.796291586,0
acoustic,-1.403444947,-1.035201749,-0.3791625,-0.236422922,0.107745343,-1.490205489,0
acoustic,1.561680497,-1.456624313,-1.710251888,-0.417162509,-0.937537702,1.513624002,0
acoustic,-0.139391312,-0.534265494,0.946164596,0.354311195,-0.80639518,1.065291242,0
acoustic,1.757656512,-0.733049723,-1.105211258,0.24674231,-0.227825229,1.87229021,0
acoustic,1.658417594,0.594828922,-0.788285213,0.564676963,-0.991537564,1.289457622,0
acoustic,-0.850942694,-1.428794521,0.283501048,-1.403376316,-0.150682568,1.468790726,0
acoustic,-1.404045384,-1.170375025,0.796345011,0.001978359,-0.439967544,1.379124174,0
acoustic,0.591640921,-1.536138005,0.087583129,-0.396682666,-0.729252519,1.289457622,0
acoustic,-1.183651592,-1.460599998,-0.102572498,-0.85618672,-1.030108894,1.110124518,0
acoustic,-0.739528245,-1.138569548,1.268852932,-0.630311944,0.022888417,1.42395745,0
acoustic,-1.370921268,-1.345305145,-0.97844084,0.14931393,-1.165108549,1.513624002,0
acoustic,0.195619262,-0.880150051,-0.108334789,0.082903565,-1.072537357,1.42395745,0
acoustic,-0.136956205,-0.947736689,1.268852932,-0.741658665,-0.810252313,0.482458654,0
acoustic,0.594376246,-0.271870313,-0.47712146,0.412768223,-0.493967406,0.97562469,0
acoustic,-0.66911031,-0.89605279,-1.064875216,-0.207592075,-1.346393801,1.64812383,0
acoustic,-1.006322486,-0.263918944,-0.148670832,-0.239405423,-0.1776825,1.065291242,0
acoustic,-0.081715987,-0.66943877,0.231640422,-0.05886467,0.254316397,1.020457966,0
acoustic,0.859969613,-0.184405253,-0.863195005,0.083301232,-1.377250865,1.020457966,0
acoustic,0.601581492,-0.744976776,0.029960212,-0.403045335,0.157888072,1.513624002,0
acoustic,-0.471132838,1.079862439,0.819394178,0.618560822,0.173316604,1.289457622,0
acoustic,-0.430703403,-1.190253447,-0.171719998,-1.052634147,-0.852680776,0.52729193,0
acoustic,-1.042548861,-1.214107555,0.202828964,-0.566088747,-0.536395869,1.379124174,0
acoustic,-1.339198171,-0.013450816,0.439082924,0.658526342,0.485744378,1.42395745,0
acoustic,0.930921269,0.233041627,-0.667277087,0.330451184,-0.401396214,-1.490205489,0
acoustic,0.584469033,-0.995444904,-0.119859373,-0.50246205,-1.049394559,-1.490205489,0
acoustic,1.324641253,-1.249888716,-0.033424997,-0.512204888,-0.67910979,1.558457278,0
acoustic,-1.206001197,-0.399092219,-0.505932918,-0.318739961,-0.671395524,-1.490205489,0
acoustic,-1.206001197,-0.399092219,-0.505932918,-0.318739961,-0.671395524,-1.490205489,0
acoustic,-0.714309884,-0.959663743,-0.753711462,-0.641446616,-0.474681741,1.244624346,0
acoustic,2.098704815,0.773734727,-0.091047914,0.879032614,1.095171393,1.64812383,0
acoustic,-1.230418974,-1.94165783,-0.909293339,-0.493315712,-1.134251485,-1.490205489,0
acoustic,-1.230418974,-1.94165783,-0.909293339,-0.493315712,-1.134251485,-1.490205489,0
acoustic,-0.817818578,0.809515888,0.19130438,0.235209971,-0.316539288,1.289457622,0
acoustic,-1.069768678,-1.973463307,-0.431023126,-1.241724738,-0.987680431,-1.490205489,0
acoustic,-1.069768678,-1.973463307,-0.431023126,-1.241724738,-0.987680431,-1.490205489,0
acoustic,-0.142093279,-0.343432635,-0.690326254,0.445575739,-0.555681534,-1.490205489,0
acoustic,-1.069768678,-1.973463307,-0.431023126,-1.241724738,-0.987680431,-1.490205489,0
acoustic,-1.069768678,-1.973463307,-0.431023126,-1.241724738,-0.987680431,-1.490205489,0
acoustic,-1.069768678,-1.973463307,-0.431023126,-1.241724738,-0.987680431,-1.490205489,0
acoustic,-1.069768678,-1.973463307,-0.431023126,-1.241724738,-0.987680431,-1.490205489,0
acoustic,-1.069768678,-1.973463307,-0.431023126,-1.241724738,-0.987680431,-1.490205489,0
acoustic,-0.553692946,1.175278868,0.542804175,0.616771321,1.276456644,-1.490205489,0
acoustic,-0.722148925,0.551096392,0.208591255,0.542407619,0.844457747,-1.490205489,0
acoustic,-1.005555261,0.054135821,0.341123965,0.311959675,0.262030663,1.110124518,0
acoustic,-0.23876366,-1.039177434,1.309188974,-0.101415024,0.551315639,0.75145831,0
acoustic,-1.751464992,-1.440721575,-0.269678958,-0.493116879,-1.461722077,1.154957794,0
acoustic,-1.506986998,0.066062875,-0.125621665,0.215724295,0.805886417,1.065291242,0
acoustic,-0.232125494,-1.492405474,0.928877721,0.186296948,-0.644395593,1.19979107,0
acoustic,0.390694621,-0.931833951,0.537041884,-0.024267653,-0.837252244,1.244624346,0
acoustic,-1.290896338,-1.909852354,-1.208932509,-0.478800872,-0.574967199,0.706625034,0
acoustic,0.835918769,-1.937682146,-0.505932918,-0.60108343,-0.439967544,0.97562469,0
acoustic,-0.670978337,0.507363861,0.145206046,0.594700811,-0.343539219,0.796291586,0
acoustic,-1.405579834,-0.744976776,0.767533552,-0.423724012,-0.517110204,0.572125206,0
acoustic,-0.737326642,-1.766727709,-0.949629381,-0.500274882,-1.257679741,1.065291242,0
acoustic,0.45740986,-1.047128803,-0.34458875,-0.151123381,-1.500679121,1.110124518,0
acoustic,0.093811807,-1.651432857,0.300787923,-1.032750805,-1.103394421,0.796291586,0
acoustic,0.829347318,-0.279821682,-0.938104798,0.634268663,-0.709966854,1.334290898,0
acoustic,1.795550768,0.590853237,-0.857432713,0.330053517,-1.068680224,0.885958138,0
acoustic,0.847327075,-1.361207884,0.381460007,0.091652236,-0.513253071,1.19979107,0
acoustic,0.108455802,-2.394090734,-0.01037583,-3.980058721,0.489601511,0.616958482,0
acoustic,-1.405813338,-2.249773384,0.56009105,-2.301904581,0.389316052,1.19979107,0
acoustic,0.485530333,-1.345305145,0.104870004,-0.357711313,-1.280822539,1.468790726,0
acoustic,-1.471461133,-1.472527052,0.479418966,-0.561117911,-1.018537495,1.513624002,0
acoustic,-0.792666933,-1.703116756,-0.189006874,-0.075765511,-1.443593552,0.437625378,0
acoustic,1.453902029,-1.015323327,-0.638465628,-0.404437169,0.532029974,0.930791414,0
acoustic,0.589906325,-1.61962738,-0.909293339,-1.084049829,-1.26925114,1.19979107,0
acoustic,-1.471127557,-0.442824749,-0.373400209,-0.2612771,-1.43510786,0.706625034,0
acoustic,-1.470393689,-2.084782474,-0.407973959,-0.919614583,-0.60196713,1.065291242,0
acoustic,2.179463612,0.328458056,0.104870004,0.347153192,-0.544110135,0.392792102,0
acoustic,-1.066166055,-1.544089374,0.087583129,-0.630510778,-0.694538322,1.513624002,0
acoustic,0.588171729,-1.993341729,0.404509174,-0.638861782,-0.316539288,1.244624346,0
acoustic,-1.005054896,-0.073086085,0.606189384,0.509003603,0.551315639,1.692957106,0
acoustic,0.70935996,-1.468551367,-0.834383547,-0.499678382,-1.392679397,0.706625034,0
acoustic,1.72700086,0.634585768,-0.557793544,0.3644517,-0.1661111,1.244624346,0
acoustic,-0.872758577,0.885053895,-0.016138122,0.623929325,0.231173599,1.244624346,0
acoustic,0.430757122,-0.581973709,-0.263916666,0.10000324,-1.381107998,-0.593539969,0
acoustic,-0.805709762,0.670366929,0.283501048,0.347749692,1.218599649,-0.503873417,0
acoustic,-0.773686447,0.678318298,0.277738756,0.335223186,1.025742999,0.078959171,0
acoustic,-0.449917392,-1.337353776,-0.51169521,-0.955006934,-1.452850672,1.19979107,0
acoustic,-1.206001197,-0.399092219,-0.505932918,-0.318739961,-0.590395731,1.154957794,0
acoustic,-0.726118482,0.499412492,0.116394588,0.506219935,0.73260089,1.782623658,0
acoustic,0.682140143,-0.287773051,-0.304252708,0.078131563,-0.810252313,-0.503873417,0
acoustic,-0.538948878,0.773734727,0.456369799,0.408791555,0.97560027,-0.638373245,0
acoustic,1.366638496,0.276774157,0.018435628,0.816002417,0.670886762,-0.414206865,0
acoustic,-1.672607579,-1.75877634,0.640763135,-0.303429787,-0.817966579,1.065291242,0
acoustic,-0.921594132,0.896980949,0.127919171,0.742831715,1.237885314,0.078959171,0
acoustic,-0.73889445,1.131546338,0.341123965,0.759136057,0.285173461,-0.593539969,0
acoustic,-0.305245396,-0.339456951,0.686861468,-0.047928831,-0.439967544,-0.683206521,0
acoustic,-0.706871135,0.757831989,-0.039187289,0.52968228,1.264885245,-0.638373245,0
acoustic,1.862799729,0.602780291,0.300787923,0.456312744,1.612027216,-0.459040141,0
acoustic,-0.665841263,-1.44469726,-0.039187289,-0.84346138,0.46260158,-0.638373245,0
acoustic,-0.657401785,0.650488506,0.162492922,0.066201557,-0.443824677,-0.683206521,0
acoustic,0.708159086,0.737953566,-0.742186879,0.34357419,0.659315363,1.42395745,0
acoustic,0.258898666,-1.059055857,0.087583129,-0.997756121,-1.419679328,0.97562469,0
acoustic,0.79638999,-1.377110622,-0.655752503,-0.919018083,-1.288536805,0.616958482,0
acoustic,-0.94124177,-0.065134716,0.398746882,0.072365393,-0.509395938,1.020457966,0
acoustic,-1.135516547,-1.750824971,0.416033757,-1.66106444,-0.285682224,0.885958138,0
acoustic,0.265970481,-0.868222998,0.709910635,-0.185919231,0.447173048,0.706625034,0
acoustic,0.859469248,-1.162423655,0.185542088,-0.200831738,-0.115968371,0.796291586,0
acoustic,0.607319002,-1.500356843,-0.275441249,-0.57901292,-1.087965889,0.885958138,0
acoustic,-0.054729673,-0.287773051,0.439082924,0.159056768,-0.76782385,1.468790726,0
acoustic,1.296854356,-0.0691104,0.035722504,-0.162456886,0.211887934,1.020457966,0
acoustic,-0.339903963,0.714099459,0.502468133,0.554138791,0.535887107,0.616958482,0
acoustic,-0.205772974,-0.963639427,-0.81133438,-0.03739066,-0.991537564,0.796291586,0
acoustic,-1.381895925,-1.71504381,-0.356113334,-0.61440527,-0.582681465,0.97562469,0
acoustic,0.962477577,-0.840393206,0.72719751,-0.22588475,0.991028802,1.19979107,0
acoustic,-1.384597892,-1.408916098,0.99226293,-1.142904524,0.319887658,0.30312555,0
acoustic,0.525626192,-1.969487622,-0.655752503,-0.142573543,-1.475607756,1.110124518,0
acoustic,-1.407547934,-0.403067904,0.22587813,0.395270882,-0.868109308,0.97562469,0
acoustic,-0.070007463,0.01835466,0.162492922,0.549565623,0.343030456,0.75145831,0
acoustic,0.256330129,-1.973463307,0.974976054,-0.190094733,-0.92210917,0.841124862,0
